lambda sigmaxx
1 -0.0254126940584801
1.000099 -0.219269305807597
1.000199 -0.0365104933995896
1.000299 -0.0891592452414242
1.000399 -0.030537130628516
1.000499 -0.144010280309416
1.000599 -0.0956595295947602
1.000699 -0.151071576202185
1.000799 -0.0134981247962442
1.000899 0.0192597270287429
1.000999 0.0800758526094256
1.001099 0.059315660547668
1.001199 0.03281033977426
1.001299 0.0517866632398505
1.001399 0.0474295535783433
1.001499 0.00572724390797861
1.001599 -0.0135520687997624
1.001699 -0.0892063831701794
1.001799 -0.040148740370966
1.001899 -0.00640847001261656
1.001999 -0.00867347706276903
1.002099 -0.0134205526879776
1.002199 0.00534959999378122
1.002299 0.0454537816996094
1.002399 0.0350026526823425
1.002499 0.0152992947609705
1.002599 -0.00645040799739904
1.002699 -0.013693120664937
1.002799 0.00132381410149937
1.002899 0.0241326950845129
1.002999 0.0200624054944025
1.003099 0.023495139652263
1.003199 0.0113796130104579
1.003299 -0.00497987466141122
1.003399 -0.00288135343032859
1.003499 0.000730239712587556
1.003599 -0.0145040351198055
1.003699 -0.0268357252453986
1.003799 0.000155279803692076
1.003899 0.0145072258499977
1.003999 0.00584642239455141
1.004099 -0.0326076509644761
1.004199 -0.00604979739615934
1.004299 -0.00476451964353138
1.004399 0.0257084689780357
1.004499 0.0144765747933707
1.004599 0.0183010307799262
1.004699 0.015659039122983
1.004799 -0.000121667195093003
1.004899 0.00651867478507203
1.004999 -0.016405347608106
1.005099 -0.0164027230168279
1.005199 -0.0336376563056994
1.005299 0.000420637785170225
1.005399 -0.00326355765000905
1.005499 -0.000933986818723814
1.005599 -0.0273257481411301
1.005699 -0.00522581786110978
1.005799 -0.010794886157388
1.005899 0.00261915136736295
1.005999 0.00823643920135499
1.006099 0.00114261857082846
1.006199 -0.0076431416577836
1.006299 0.0105470564574936
1.006399 -0.00499926705190411
1.006499 0.0148168845380092
1.006599 0.024501387166546
1.006699 0.0470772229664148
1.006799 0.0141157572057468
1.006899 0.0243457648741129
1.006999 0.000902162099937876
1.007099 -0.0258269427391467
1.007199 -0.0246018115032205
1.007299 -0.00507780121655701
1.007399 -0.0047622355545311
1.007499 0.00976615373793608
1.007599 -0.0184204325067302
1.007699 0.0238189236898038
1.007799 0.0139405349670968
1.007899 0.00850287406854593
1.007999 -0.00733543369966857
1.008099 -0.0142813919689999
1.008199 -0.0176389052628668
1.008299 -0.0139207594718265
1.008399 -0.0181974114566855
1.008499 -0.0078776894150522
1.008599 0.0107376138021921
1.008699 0.00130702684302897
1.008799 0.0106933289579686
1.008899 0.027099049386433
1.008999 0.0394005427687483
1.009099 0.00131648010298253
1.009199 -0.0103295864343788
1.009299 0.027109150818786
1.009399 -0.0336553115894546
1.009499 -0.0211647431629212
1.009599 0.0228715993059536
1.009699 0.00423775323516286
1.009799 0.0077076278673799
1.009899 -0.00193898321292861
1.009999 -0.0303926729030312
1.010099 -0.0148705949572208
1.010199 0.0180540137499424
1.010299 -0.0378468251894061
1.010399 -0.0183276435058744
1.010499 -0.0132592192872998
1.010599 -0.00699509721383961
1.010699 -0.00367096396446694
1.010799 0.00125803569817245
1.010899 0.020755919560344
1.010999 0.00238719209339113
1.011099 0.0192426673146565
1.011199 0.0340473141469692
1.011299 0.00612966039621376
1.011399 0.00747977158906693
1.011499 -0.029396520652138
1.011599 -0.0188846701858802
1.011699 -0.00233109510988067
1.011799 -0.0115549911319763
1.011899 -0.00623208089213127
1.011999 0.00511889729783623
1.012099 0.019283927167977
1.012199 -0.00733796804331698
1.012299 0.0051357567463551
1.012399 -0.041611943071785
1.012499 0.013254730359226
1.012599 0.0118981801565034
1.012699 -0.00604627975204449
1.012799 0.0115446321490124
1.012899 0.0249509047472327
1.012999 -0.0195798131016426
1.013099 0.013354536477219
1.013199 -0.0047171360706083
1.013299 -0.0125517089822218
1.013399 -0.00488140325541013
1.013499 0.0313664151336937
1.013599 -0.00451087319747027
1.013699 0.00862374455095949
1.013799 -0.00378805603637324
1.013899 -0.0151803120436891
1.013999 -0.0181397648812326
1.014099 -0.0137274973855459
1.014199 -0.0383472979929074
1.014299 0.00590936093123712
1.014399 -0.0122591898366876
1.014499 0.0338595873258808
1.014599 0.0342799157593007
1.014699 0.0232183093527718
1.014799 0.0073137276217856
1.014899 0.0190439780536863
1.014999 -0.0353097261823935
1.015099 -0.00428082393753823
1.015199 0.000944387512933451
1.015299 0.0299598604314885
1.015399 0.0199872696226159
1.015499 0.0354190434713372
1.015599 0.0102335506074702
1.015699 -0.00534113206537807
1.015799 -0.00239777653804867
1.015899 -0.0007104204838314
1.015999 -0.0268208819530604
1.016099 -0.00173549260826539
1.016199 -0.028454289145429
1.016299 -0.0126144482756343
1.016399 -0.00406826788630028
1.016499 -0.00214957857363735
1.016599 0.0247898149159815
1.016699 0.0094296755242491
1.016799 -0.0226610945713228
1.016899 -0.0299382412761801
1.016999 -0.00137461120229845
1.017099 -0.0284597407764782
1.017199 0.00182030871821553
1.017299 0.0144326997181975
1.017399 0.018116531994835
1.017499 0.00719855744208076
1.017599 0.0338009406280716
1.017699 0.00875038309143073
1.017799 -0.00321342728950273
1.017899 -0.0165242316888605
1.017999 -0.00681539683638172
1.018099 -0.0115149885484611
1.018199 -0.0216233309699576
1.018299 0.0310475390690724
1.018399 0.0168062213090336
1.018499 0.0157037319291897
1.018599 -0.0109237326675162
1.018699 -0.00421624628485077
1.018799 -0.0164758107699514
1.018899 0.015070541732271
1.018999 -0.0310420293819026
1.019099 0.00616521306266612
1.019199 0.0110906802661417
1.019299 0.0108510980146214
1.019399 -0.00100699930433145
1.019499 0.0162385092248985
1.019599 -0.0310486583505553
1.019699 -0.0313491623716105
1.019799 -0.0353371323180078
1.019899 0.00516269881132276
1.019999 -0.0188364121526795
1.020099 0.0304659089628379
1.020199 0.0292613853449386
1.020299 0.0197257989052081
1.020399 0.0127290164437243
1.020499 0.0225097918592041
1.020599 0.0289516678883388
1.020699 -0.0240354828048673
1.020799 -0.0117283756276847
1.020899 -0.0577548719718947
1.020999 -0.00490026715037372
1.021099 0.00682572673724263
1.021199 0.0319684727812789
1.021299 0.0332601320299536
1.021399 -0.0083693940162545
1.021499 -0.0247365464181866
1.021599 -0.00926944788571341
1.021699 -0.0011487452765339
1.021799 -0.0252194186293162
1.021899 0.0090789366634154
1.021999 0.00205107123133419
1.022099 0.0282259954267146
1.022199 0.0176079456711215
1.022299 0.0228115264833298
1.022399 0.00493902317620301
1.022499 0.025839574583964
1.022599 -0.0178068243662367
1.022699 -0.027844369970592
1.022799 -0.0375860955803043
1.022899 -0.00653132188586213
1.022999 -0.00529007573244243
1.023099 0.0316235349953463
1.023199 0.00686174642747451
1.023299 0.000162812922904321
1.023399 -0.0199772171347318
1.023499 0.0217762601551797
1.023599 -0.0450636252368039
1.023699 -0.00325382618076625
1.023799 -0.0226891359891098
1.023899 -0.0105510935422149
1.023999 -0.0148998999339585
1.024099 0.0159779934873967
1.024199 0.0103698773210751
1.024299 0.0424222652021761
1.024399 -0.000751975987969346
1.024499 -0.0279062618112544
1.024599 -0.0214925764648817
1.024699 -0.00679328956614925
1.024799 0.0290194066012673
1.024899 0.0144480875282205
1.024999 0.0230309747502282
1.025099 0.0269305107346024
1.025199 -0.000591676841248957
1.025299 -0.0204165183693253
1.025399 0.0519697974082067
1.025499 0.00915688665297924
1.025599 -0.0305170937118148
1.025699 -0.00189866154372566
1.025799 -0.00986529791164531
1.025899 0.0111617565391327
1.025999 -0.0199537324857397
1.026099 -0.00684657637986853
1.026199 0.00484998708882204
1.026299 0.025597586667282
1.026399 -0.0151435298191346
1.026499 0.00424111254512705
1.026599 -0.0292337589538995
1.026699 -0.0463553095699404
1.026799 0.0189425067567208
1.026899 -0.0230713644996318
1.026999 -0.00517266123361161
1.027099 -0.00438388590190868
1.027199 0.0163520976133114
1.027299 -0.0134421991227097
1.027399 0.0429687582989138
1.027499 -0.0120304380589938
1.027599 0.00484344008722973
1.027699 0.00150409743953151
1.027799 0.00258262837905533
1.027899 0.038380726488972
1.027999 -0.00972092455333714
1.028099 0.00163818942223451
1.028199 0.00114719037749278
1.028299 0.0198098686703011
1.028399 0.0275169050362502
1.028499 0.0140077277682274
1.028599 -0.0061777814619388
1.028699 -0.0122077113394786
1.028799 -0.0316267893033285
1.028899 0.00085054410743889
1.028999 0.00471331526607389
1.029099 -0.0177116793890874
1.029199 0.0335722912675177
1.029299 0.00894265398852832
1.029399 -0.0153962512536123
1.029499 -0.014868470694447
1.029599 -0.00626877936535754
1.029699 -0.0191520870916234
1.029799 0.00803025705529122
1.029899 -0.0233612068586291
1.029999 -0.0223270413695574
1.030099 -0.031094724352429
1.030199 0.0141203181549858
1.030299 -0.00824751164193601
1.030399 0.0104841901459425
1.030499 0.00508199230162581
1.030599 0.0456715592791943
1.030699 0.00748960552704691
1.030799 0.0403494578414448
1.030899 -0.0072384079300732
1.030999 -0.0199854007012083
1.031099 -0.0103285550586088
1.031199 -0.0119958907433971
1.031299 0.0219529070938356
1.031399 0.00105990932964169
1.031499 -0.00122742137216881
1.031599 -0.0204371392608545
1.031699 0.0315088216457409
1.031799 0.00909101017698923
1.031899 -0.010845456390151
1.031999 -0.00987695446900568
1.032099 0.0121929360041612
1.032199 -0.0151194888929618
1.032299 -0.00860582156396536
1.032399 0.0152853268521945
1.032499 -0.0117368694651796
1.032599 -0.0241514083179172
1.032699 -0.0175853423897795
1.032799 0.0118166909541577
1.032899 0.00841346464446312
1.032999 -0.01638216693344
1.033099 -0.000819634776858577
1.033199 0.0279286899066843
1.033299 0.0312369194491432
1.033399 0.0157939136120932
1.033499 -0.0030070537311127
1.033599 0.00391711885977611
1.033699 -0.00240050364759669
1.033799 -0.0270344645033468
1.033899 -0.00192772204228787
1.033999 0.00872420852545347
1.034099 0.00602780036122683
1.034199 -0.00929009806982304
1.034299 -0.0326195640236298
1.034399 0.0271004006522842
1.034499 0.00446247260100351
1.034599 -0.00782164326072064
1.034699 0.0388220072664601
1.034799 0.00111660582670692
1.034899 -0.0153731691863802
1.034999 -0.0262095777998108
1.035099 -0.00286373917074376
1.035199 -0.00286345308457468
1.035299 0.00324420494083869
1.035399 -0.00120966229626011
1.035499 0.00386510270343884
1.035599 -0.0127953250265839
1.035699 -0.00666189621587537
1.035799 -0.00814273879261751
1.035899 -0.0332828655690449
1.035999 0.00327517589825823
1.036099 -0.0215900945026477
1.036199 -0.0116987950093461
1.036299 0.0188340792114736
1.036399 0.0266124895788794
1.036499 0.00725119129184461
1.036599 0.0362389190989682
1.036699 0.01824415809535
1.036799 0.0143715932609477
1.036899 0.0110840594683774
1.036999 -0.0130167546814089
1.037099 0.00858700196631378
1.037199 -0.0286203272899848
1.037299 -0.0394369972586625
1.037399 0.0100217228495829
1.037499 0.0110993170195781
1.037599 0.0323041442935138
1.037699 0.0238831043031146
1.037799 -0.0319090656316058
1.037899 -0.0136489511687507
1.037999 0.00280617874498567
1.038099 -0.00207743310692193
1.038199 0.00375572296793102
1.038299 0.00601565848685633
1.038399 -0.00015234012825931
1.038499 -0.0426168414070461
1.038599 -0.00283627420128691
1.038699 0.00443059653632669
1.038799 -0.0246208161871453
1.038899 0.00911878616990314
1.038999 0.033006571625605
1.039099 -0.00651009389792772
1.039199 0.0152211975756027
1.039299 0.0144183121642269
1.039399 0.00954549185666229
1.039499 -0.00458504968394297
1.039599 -0.0252112161497854
1.039699 -0.0166288081907187
1.039799 -0.00651362289873121
1.039899 -0.042290464389026
1.039999 0.0269770128410824
1.040099 0.00612131980659277
1.040199 0.0344421364217991
1.040299 0.0261995652055281
1.040399 0.0320536364463738
1.040499 -0.0165156517639844
1.040599 -0.0273554071552138
1.040699 -0.0289429357999148
1.040799 -0.0200802191501215
1.040899 0.00476401686616609
1.040999 0.0264788442873973
1.041099 0.0249360821040209
1.041199 -0.00998105894982195
1.041299 -0.00504470964616818
1.041399 0.00546415926608943
1.041499 0.00452280197957572
1.041599 -0.00591225382852294
1.041699 -0.00572772090261647
1.041799 0.00465180092284763
1.041899 0.0191466727681692
1.041999 0.0217311363251917
1.042099 0.00384407158717323
1.042199 -0.0102998605692022
1.042299 0.0138981167934963
1.042399 -0.0312787685948571
1.042499 0.00386799419667802
1.042599 0.0158982464474312
1.042699 -0.0192095350085764
1.042799 -0.023200948813636
1.042899 0.0195402262717549
1.042999 -0.00699856688311143
1.043099 0.00525661761066917
1.043199 0.0104290366952411
1.043299 -0.0158896481433678
1.043399 0.00469040907382804
1.043499 -0.0524798550905014
1.043599 -0.00392169009688555
1.043699 -0.0193264638575621
1.043799 -0.0126694711750517
1.043899 -0.0100417350355015
1.043999 0.00520211863959741
1.044099 0.0427119646321156
1.044199 0.0203809429961876
1.044299 -0.0184960430366668
1.044399 0.0200824630156294
1.044499 0.0413719134711398
