LAMMPS data file via write_data, version 10 Dec 2025, timestep = 20050, units = lj

480 atoms
2 atom types
450 bonds
2 bond types

0 20 xlo xhi
0 20 ylo yhi
0 20 zlo zhi

Masses

1 1
2 1

Pair Coeffs # lj/cut

1 1 1
2 1 1

Bond Coeffs # fene

1 30 1.5 1 1
2 30 1.5 1 1

Atoms # bond

25 1 1 9.79550836952296 4.177739216313761 1.3209392904502733 0 0 0
22 1 1 4.037416748446792 15.736702074808077 0.31981426754787173 0 0 0
24 1 1 3.0318115981705707 16.520265809822245 0.8864933309406371 0 0 0
23 1 1 3.4930660638545015 15.768793382714062 1.0972524640081989 0 0 0
440 1 1 3.845328202260457 17.399240865796937 0.6369294692905526 0 0 0
409 1 1 3.709711339016089 18.342987433921202 0.5785449595048692 0 0 0
410 1 1 4.313977059717643 19.051713891080002 0.31392760089782856 0 0 0
29 1 1 8.284380172389717 4.014253854937111 2.367522313681422 0 0 0
32 1 1 9.131142533941787 3.567669330356248 2.309687910623879 0 0 0
26 1 1 8.898751148208348 4.255561779737607 1.6891056144560885 0 0 0
28 1 1 9.557107604022086 4.443418530180656 2.3357377274154136 0 0 0
31 1 1 8.728328696491504 4.882198555531289 2.3832439613413485 0 0 0
83 1 1 9.876406326499714 0.5680083567523257 2.9424167818673963 0 0 0
396 1 1 9.826934300459124 1.156238817694932 3.775933375203914 0 0 0
397 1 1 9.100584230764188 0.6294784027765004 4.09753847047095 0 0 0
85 1 1 11.366959387477392 0.7848896214334737 3.415752923364958 0 0 0
84 1 1 10.763518857536239 0.2407301616182865 2.9157919181575607 0 0 0
82 1 1 10.172952443773495 0.13116679125791278 3.781920151265875 0 0 0
158 1 1 8.698073703272664 2.3555010530096907 3.408672403048845 0 0 0
88 1 1 9.740810542072998 2.384349487312549 2.968580312359958 0 0 0
398 1 1 8.61717036021544 1.4390247504400342 3.8921644237784276 0 0 0
393 1 1 9.630538626695916 2.264421919203638 3.9866346516623907 0 0 0
87 1 1 10.601453963688574 1.785031327989673 3.114318312658299 0 0 0
132 1 1 10.792538104748616 2.6475014144409945 4.057026464344597 0 0 0
133 1 1 11.423167269457048 1.9382944058958742 4.138239461843126 0 0 0
86 1 1 11.594752372251051 1.6879447320729297 3.1289556576966273 0 0 0
157 1 1 8.212360400255374 3.0847743823665907 3.090418137394501 0 0 0
156 1 1 7.650383986077771 3.8371865921674786 3.223477995435137 0 0 0
159 1 1 8.547518743196415 2.8794635712624874 4.197300046932615 0 0 0
27 1 1 8.981839091477434 4.198160287580544 2.995589453235684 0 0 0
369 1 1 8.691151587232143 3.871850005406949 4.037657902243344 0 0 0
370 1 1 9.278598276851342 3.383263659197927 3.4211067929619756 0 0 0
371 1 1 9.929100390630198 3.51286168085366 4.099522126993421 0 0 0
130 1 1 11.302377196121336 3.7582837568506404 3.858628972420179 0 0 0
135 1 1 12.672889821637566 2.993155210531275 4.11728879164582 0 0 0
155 1 1 6.830665225971138 4.3661255158089505 3.2449949721852085 0 0 0
154 1 1 7.089720849949191 4.801849686023799 4.032056523310974 0 0 0
30 1 1 8.003192321827921 4.701994077049271 2.9849162416415087 0 0 0
153 1 1 7.937996376902544 4.452764624379936 4.1133803759499115 0 0 0
