stretch,stress
1,1.358024691
1.018072289,1.810699588
1.031626506,2.716049383
1.046686747,3.847736626
1.056475904,4.526748971
1.067771084,5.432098765
1.079819277,6.790123457
1.09186747,7.695473251
1.102409639,8.600823045
1.111822289,9.279835391
1.124246988,10.86419753
1.136671687,12.44855967
1.143825301,13.58024691
1.152861446,15.3909465
1.164909639,17.65432099
1.174698795,19.23868313
1.184487952,21.27572016
1.193524096,23.53909465
1.205572289,26.25514403
1.21686747,29.42386831
1.223644578,32.1399177
1.231927711,34.85596708
1.239457831,38.02469136
1.24623494,41.64609053
1.253012048,44.81481481
1.261295181,48.88888889
1.268825301,53.41563786
1.274096386,57.48971193
1.280120482,61.11111111
1.28689759,66.09053498
1.295180723,72.88065844
1.299698795,77.8600823
1.302710843,82.38683128
1.307228916,87.81893004
1.310240964,91.89300412
1.313253012,95.96707819
1.31626506,100.0411523
1.318900602,104.5679012
1.320783133,111.3580247
1.322289157,115.8847737
1.324548193,119.9588477
1.326054217,126.2962963
1.327936747,132.18107
